Data,Categoria,Moeda,Quantidade,Saldo
2021-03-26 09:54:03,Execução de ordem,BRL,804.99095829,6873.24544520
2021-03-26 09:53:54,Execução de ordem,BRL,498.64738017,6068.25448691
2021-03-26 09:53:46,Execução de ordem,BRL,226.75350825,5569.60710674
2021-03-26 09:53:42,Execução de ordem,BRL,128.84879058,5342.85359849
2021-03-26 09:53:34,Execução de ordem,BRL,101.49265718,5214.00480791
2021-03-26 09:53:24,Execução de ordem,BRL,398.91973316,5112.51215073
2021-03-26 09:52:41,Execução de ordem,BRL,2097.46004413,4713.59241757
2021-03-26 09:52:39,Execução de ordem,BRL,2612.08534838,2616.13237344
2021-03-26 09:52:39,Criação de ordem,BTC,-0.02257106,0E-8
2021-03-25 09:48:05,Diferença de preço em ordem executada,BRL,4.03704230,4.04702506
2021-03-25 09:48:05,Execução de ordem,BTC,0.02257106,0.02257106
2021-03-25 09:48:05,Criação de ordem,BRL,-6696.30808200,0.00998276
2021-03-22 19:11:42,Execução de ordem,BRL,6373.17548606,6696.31806476
2021-03-22 19:11:41,Execução de ordem,BRL,316.67183284,323.14257870
2021-03-22 19:11:41,Criação de ordem,BTC,-0.02203304,0E-8
2021-03-22 16:38:04,Diferença de preço em ordem executada,BRL,6.46856987,6.47074586
2021-03-22 16:38:04,Execução de ordem,BTC,0.02203304,0.02203304
2021-03-22 16:38:04,Criação de ordem,BRL,-6933.85937500,0.00217599
2021-03-17 19:11:09,Execução de ordem,BRL,278.24059708,6933.86155099
2021-03-17 18:45:49,Execução de ordem,BRL,6655.61661365,6655.62095391
2021-03-17 18:37:19,Criação de ordem,BTC,-0.02119801,0E-8
2021-03-16 18:21:28,Execução de ordem,BTC,0.02119801,0.02119801
2021-03-16 18:21:08,Criação de ordem,BRL,-6799.59883589,0.00434026
2021-03-03 08:05:08,Execução de ordem,BRL,6799.59629155,6799.60317615
2021-03-03 08:05:08,Criação de ordem,BTC,-0.02357153,0E-8
2021-02-22 16:18:27,Execução de ordem,BTC,0.01660548,0.02357153
2021-02-22 16:18:24,Criação de ordem,BRL,-4973.14782960,0.00688460
2021-02-22 16:17:30,Cancelamento de ordem,BRL,4973.15174400,4973.15471420
2021-02-22 15:59:22,Execução de ordem,BTC,0.00696605,0.00696605
2021-02-22 15:59:15,Criação de ordem,BRL,-7035.71709600,0.00297020
2021-01-27 17:29:24,Execução de ordem,BRL,781.35362373,7035.72006620
2021-01-27 17:29:20,Execução de ordem,BRL,1695.40992022,6254.36644247
2021-01-27 17:29:09,Execução de ordem,BRL,2991.89835446,4558.95652225
2021-01-27 17:28:53,Execução de ordem,BRL,1566.21692567,1567.05816779
2021-01-27 16:33:14,Criação de ordem,BTC,-0.04125102,0E-8
2021-01-12 15:17:25,Diferença de preço em ordem executada,BRL,0.83291606,0.84124212
2021-01-12 15:17:25,Execução de ordem,BTC,0.04125102,0.04125102
2021-01-12 15:17:26,Criação de ordem,BRL,-8092.75805800,0.00832606
2021-01-12 15:16:58,Cancelamento de ordem,BRL,8092.75850000,8092.76638406
2021-01-12 15:15:44,Criação de ordem,BRL,-8092.75850000,0.00788406
2021-01-11 12:52:08,Execução de ordem,BRL,8092.76368946,8092.76638406
2021-01-11 12:52:08,Criação de ordem,BTC,-0.04654376,0E-8
2021-01-04 18:37:44,Execução de ordem,BTC,0.00495799,0.04654376
2021-01-04 18:37:35,Execução de ordem,BTC,0.02476677,0.04158577
2021-01-04 18:37:32,Execução de ordem,BTC,0.01199751,0.01681900
2021-01-04 18:37:29,Execução de ordem,BTC,0.00103132,0.00482149
2021-01-04 18:36:15,Execução de ordem,BTC,0.00379017,0.00379017
2021-01-04 16:46:57,Criação de ordem,BRL,-7805.52968800,0.00269460
