Data,Categoria,Moeda,Quantidade,Saldo
2020-12-14 17:40:19,Cancelamento de ordem,BRL,7805.52963600,7805.53238260
2020-12-14 11:44:01,Criação de ordem,BRL,-7805.52963600,0.00274660
2020-10-21 16:02:43,Execução de ordem,BRL,2529.44229215,7805.53238260
2020-10-21 16:02:36,Execução de ordem,BRL,100.65654673,5276.09009045
2020-10-21 16:02:23,Execução de ordem,BRL,99.69941178,5175.43354372
2020-10-21 16:02:13,Execução de ordem,BRL,398.79979313,5075.73413194
2020-10-21 16:02:12,Execução de ordem,BRL,12.55220259,4676.93433881
2020-10-21 16:01:26,Execução de ordem,BRL,579.79487153,4664.38213622
2020-10-21 16:01:18,Execução de ordem,BRL,171.39368427,4084.58726469
2020-10-21 16:01:10,Execução de ordem,BRL,261.56252129,3913.19358042
2020-10-21 16:01:06,Execução de ordem,BRL,59.81950400,3651.63105913
2020-10-21 15:59:26,Execução de ordem,BRL,318.34179841,3591.81155513
2020-10-21 15:58:31,Execução de ordem,BRL,41.55453628,3273.46975672
2020-10-21 15:58:08,Execução de ordem,BRL,79.77984529,3231.91522044
2020-10-21 15:56:57,Execução de ordem,BRL,99.69941178,3152.13537515
2020-10-21 15:56:44,Execução de ordem,BRL,49.85972075,3052.43596337
2020-10-21 15:54:42,Execução de ordem,BRL,49.84970589,3002.57624262
2020-10-21 15:54:26,Execução de ordem,BRL,996.99984048,2952.72653673
2020-10-21 15:54:04,Execução de ordem,BRL,914.28707045,1955.72669625
2020-10-21 15:53:55,Execução de ordem,BRL,29.90939433,1041.43962580
2020-10-21 15:53:39,Execução de ordem,BRL,175.43182090,1011.53023147
2020-10-21 15:53:36,Execução de ordem,BRL,49.84970589,836.09841057
2020-10-21 15:53:24,Execução de ordem,BRL,49.84970589,786.24870468
2020-10-21 15:53:14,Execução de ordem,BRL,199.39953889,736.39899879
2020-10-21 15:52:38,Execução de ordem,BRL,487.14377868,536.99945990
2020-10-21 15:52:15,Execução de ordem,BRL,49.84970589,49.85568122
2020-10-21 15:52:14,Criação de ordem,BTC,-0.10911517,0E-8
2020-10-19 22:59:47,Execução de ordem,ETH,0.99799701,0.99799701
2020-10-19 22:24:01,Execução de ordem,BTC,0.05696147,0.10911517
2020-10-19 22:22:43,Execução de ordem,BTC,0.00995207,0.05215370
2020-10-19 22:20:56,Execução de ordem,BTC,0.01215020,0.04220163
2020-10-19 22:19:24,Execução de ordem,BTC,0.02226561,0.03005143
2020-10-19 22:19:07,Execução de ordem,BTC,0.00678565,0.00778582
2020-10-19 22:18:54,Execução de ordem,BTC,0.00100017,0.00100017
2020-10-19 22:18:50,Criação de ordem,BRL,-7234.86936676,0.00597533
2020-10-19 22:17:54,Criação de ordem,BRL,-2130.12800000,7234.87534209
2020-10-19 22:17:08,Cancelamento de ordem,BRL,7238.63975907,9365.00334209
2020-10-19 22:16:52,Cancelamento de ordem,BRL,2126.35999703,2126.36358302
2020-10-19 22:13:52,Criação de ordem,BRL,-7238.63975907,0.00358599
2020-10-19 22:13:28,Cancelamento de ordem,BRL,7238.63977720,7238.64334506
2020-10-19 22:13:03,Criação de ordem,BRL,-2126.35999703,0.00356786
2020-10-19 22:12:00,Cancelamento de ordem,BRL,2126.36000000,2126.36356489
2020-10-19 22:08:21,Criação de ordem,BRL,-7238.63977720,0.00356489
2020-10-19 22:06:28,Diferença de preço em ordem executada,BRL,0.00000001,7238.64334209
2020-10-19 22:06:28,Execução de ordem,XRP,713.67019509,713.67019509
2020-10-19 22:06:28,Criação de ordem,BRL,-1000.00000000,7238.64334208
2020-10-19 22:05:07,Criação de ordem,BRL,-2126.36000000,8238.64334208
2020-10-13 15:55:51,Execução de ordem,BRL,553.85079546,10365.00334208
2020-10-13 15:55:42,Execução de ordem,BRL,9811.15235288,9811.15254662
2020-10-13 15:53:38,Criação de ordem,BTC,-0.16282211,0E-8
2020-10-13 15:53:18,Cancelamento de ordem,BTC,0.16282211,0.16282211
2020-10-13 15:50:23,Criação de ordem,BTC,-0.16282211,0E-8
2020-10-13 15:49:57,Cancelamento de ordem,BTC,0.16282211,0.16282211
2020-10-13 15:48:45,Criação de ordem,BTC,-0.16282211,0E-8
2020-10-09 18:43:39,Execução de ordem,BTC,0.00436213,0.16282211
2020-10-09 18:39:25,Execução de ordem,BTC,0.00107366,0.15845998
2020-10-09 18:38:41,Execução de ordem,BTC,0.00487533,0.15738632
2020-10-09 18:31:42,Execução de ordem,BTC,0.00842010,0.15251099
2020-10-09 18:31:31,Execução de ordem,BTC,0.09970000,0.14409089
2020-10-09 18:31:00,Execução de ordem,BTC,0.04333931,0.04439089
2020-10-09 17:52:43,Criação de ordem,BRL,-10027.49990400,0.00019374
2020-10-09 17:52:23,Cancelamento de ordem,BRL,10027.49050386,10027.50009774
2020-10-09 17:08:29,Execução de ordem,BTC,0.00105158,0.00105158
2020-10-09 17:06:48,Criação de ordem,BRL,-10092.61964412,0.00959388
2020-10-09 17:06:25,Cancelamento de ordem,BRL,10092.61975146,10092.62923800
2020-10-09 17:02:05,Criação de ordem,BRL,-10092.61975146,0.00948654
2020-10-07 13:07:55,Execução de ordem,BRL,9687.84387000,10092.62923800
2020-10-07 12:44:56,Execução de ordem,BRL,289.12953731,404.78536800
2020-10-07 12:42:24,Criação de ordem,BTC,-0.16595350,0E-8
2020-10-07 12:42:07,Cancelamento de ordem,BTC,0.16595350,0.16595350
2020-10-07 12:38:26,Execução de ordem,BRL,115.65163444,115.65583069
2020-10-07 12:38:01,Criação de ordem,BTC,-0.16787667,0E-8
2020-10-07 12:37:55,Cancelamento de ordem,BTC,0.16787667,0.16787667
2020-10-07 12:35:19,Criação de ordem,BTC,-0.16787667,0E-8
2020-10-05 15:01:32,Execução de ordem,BTC,0.14533530,0.16787667
2020-10-05 15:00:09,Execução de ordem,BTC,0.00147146,0.02254137
2020-10-05 14:58:24,Execução de ordem,BTC,0.01946759,0.02106991
2020-10-05 14:57:16,Execução de ordem,BTC,0.00160232,0.00160232
2020-10-05 14:56:42,Criação de ordem,BRL,-10116.85951511,0.00419625
2020-10-04 17:00:05,Execução de ordem,BRL,10116.85515554,10116.86371136
2020-10-02 22:13:39,Criação de ordem,BTC,-0.16704816,0E-8
2020-10-02 12:03:20,Execução de ordem,BTC,0.02948095,0.16704816
2020-10-02 11:55:13,Criação de ordem,BRL,-1765.89949800,0.00855582
2020-10-02 11:54:44,Cancelamento de ordem,BRL,1765.90712830,1765.90805382
